// File: 3.txt
// Data file for SeaPort projects
// Date: Sun Apr 23 10:09:56 EDT 2017
// parameters: 5 5 5 5 5 5
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Shaoxing 10001 0
port Xin_Sha 10002 0
port Cadiz 10000 0
port Hangzhou 10003 0
port Vitebsk 10004 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_0 20000 10000 30000
  dock Pier_21 20021 10004 30021
  dock Pier_22 20022 10004 30022
  dock Pier_20 20020 10004 30020
  dock Pier_1 20001 10000 30001
  dock Pier_24 20024 10004 30024
  dock Pier_8 20008 10001 30008
  dock Pier_3 20003 10000 30003
  dock Pier_13 20013 10002 30013
  dock Pier_17 20017 10003 30017
  dock Pier_5 20005 10001 30005
  dock Pier_11 20011 10002 30011
  dock Pier_2 20002 10000 30002
  dock Pier_23 20023 10004 30023
  dock Pier_18 20018 10003 30018
  dock Pier_4 20004 10000 30004
  dock Pier_15 20015 10003 30015
  dock Pier_6 20006 10001 30006
  dock Pier_12 20012 10002 30012
  dock Pier_14 20014 10002 30014
  dock Pier_19 20019 10003 30019
  dock Pier_7 20007 10001 30007
  dock Pier_10 20010 10002 30010
  dock Pier_16 20016 10003 30016
  dock Pier_9 20009 10001 30009

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship              Tarries 30018 20018 190.09 302.42 56.70 31.95 229 102 102
    pship                 Wasp 30022 20022 96.73 320.69 49.24 32.34 2517 965 965
    pship             Highbred 30017 20017 159.02 482.44 87.22 31.15 708 715 354
    pship           Outjutting 30019 20019 119.97 333.76 99.91 23.99 313 1043 156
    pship             Lesbians 30000 20000 59.57 475.12 106.15 23.74 141 134 70
    pship             Trammels 30007 20007 85.46 359.38 129.76 33.14 464 421 232
    pship            Panegyric 30004 20004 149.70 431.18 73.00 23.00 1141 483 483
    pship               Bedded 30001 20001 219.62 152.89 76.84 22.79 771 289 289
    pship               Serges 30012 20012 179.97 374.35 48.78 42.04 2656 873 873
    pship           Quiescence 30005 20005 134.20 162.76 114.39 25.51 822 315 315
    pship               Runoff 30010 20010 135.22 243.36 41.37 44.49 1632 529 529
    pship        Bacteriologic 30024 20024 111.95 263.45 118.20 44.68 459 917 229
    pship          Rotisseries 30020 20020 111.98 413.29 80.90 19.71 678 232 232
    pship          Spherometer 30021 20021 244.22 404.49 89.53 16.14 1885 734 734
    pship            Cohesions 30008 20008 197.50 290.30 84.44 24.60 778 684 389
    pship               Ameban 30023 20023 163.76 117.02 112.11 23.49 44 1088 22
    pship              Circlet 30011 20011 247.35 175.85 93.45 39.85 2582 934 934
    pship            Debouches 30009 20009 166.89 132.03 90.85 39.86 2107 1059 1053
    pship               Stapes 30003 20003 64.04 278.48 35.83 43.62 374 387 187
    pship            Beguiling 30013 20013 89.84 181.00 97.10 25.40 350 106 106
    pship                 Cued 30002 20002 71.80 106.11 93.28 36.23 541 243 243
    pship          Freeloading 30015 20015 140.75 293.24 94.00 35.09 1348 630 630
    pship           Animalcule 30014 20014 156.87 313.34 46.67 26.39 1719 478 478
    pship              Mottled 30006 20006 232.74 230.21 98.45 39.10 436 450 218
    pship             Venereal 30016 20016 122.53 478.81 115.31 23.35 1961 661 661

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship          Exoskeleton 40014 10002 220.35 210.40 102.88 40.50 62.75 197.58 578.12
    cship             Seraphic 40008 10001 231.40 481.27 79.67 22.47 208.36 146.68 753.72
    cship              Tumbles 40007 10001 125.01 195.02 106.10 36.50 42.89 186.90 727.93
    cship              Carpals 40016 10003 201.65 102.08 71.96 27.33 133.74 111.27 126.57
    cship            Swallowed 40003 10000 242.07 103.05 67.06 30.28 147.76 190.07 442.08
    cship               Seiner 40006 10001 69.31 229.43 95.00 35.66 62.72 136.63 447.32
    cship             Postdate 40009 10001 245.87 414.75 64.59 37.84 61.58 142.74 610.59
    cship             Mignonne 40005 10001 73.91 236.29 79.39 40.26 155.91 160.30 903.18
    cship              Tritely 40000 10000 200.81 231.32 39.97 29.11 179.64 185.06 733.75
    cship          Folklorists 40018 10003 242.53 417.80 105.49 22.80 68.53 101.08 352.39
    cship          Crystalloid 40013 10002 154.43 271.55 50.36 31.41 35.53 100.70 392.45
    cship                Sanka 40004 10000 180.69 454.40 87.49 16.90 169.11 102.58 564.75
    cship            Astounded 40019 10003 130.52 424.05 123.56 35.02 81.52 121.57 547.75
    cship                Liana 40001 10000 237.95 421.76 71.88 28.80 54.15 191.21 616.10
    cship             Roomette 40017 10003 110.34 480.23 84.05 26.26 94.31 169.32 900.97
    cship               Deride 40011 10002 181.43 299.99 42.67 17.01 205.48 124.32 430.02
    cship      Personification 40002 10000 181.01 315.12 127.58 25.37 128.10 152.48 781.97
    cship      Spectrographies 40010 10002 100.37 209.52 49.77 19.00 88.40 104.05 351.33
    cship           Defamingly 40015 10003 236.02 145.70 52.13 20.07 102.51 194.81 375.76
    cship           Garlanding 40023 10004 65.18 176.47 114.72 27.20 25.39 132.40 867.44
    cship              Brimful 40012 10002 102.77 151.74 34.41 35.46 85.51 179.23 885.40
    cship            Sublimate 40022 10004 71.21 387.49 129.21 20.76 26.99 139.61 683.08
    cship               Unworn 40020 10004 88.19 294.70 97.58 23.83 107.40 141.52 187.80
    cship                Tummy 40021 10004 161.50 497.24 41.76 30.41 176.98 146.08 988.58
    cship                 Hazy 40024 10004 123.76 379.27 102.38 22.66 95.56 110.85 278.29

// person name index parent skill
//    person <string> <int> <int> <string>
    person              Alfredo 50007 10001 carpenter
    person               Vernon 50008 10001 inspector
    person                 Jill 50020 10004 painter
    person             Roderick 50005 10001 cleaner
    person             Salvador 50004 10000 cleaner
    person                  Guy 50019 10003 painter
    person             Caroline 50001 10000 craneOperator
    person               Edward 50018 10003 mechanic
    person               Joanne 50014 10002 carpenter
    person               Curtis 50023 10004 painter
    person              Zachary 50006 10001 captain
    person                Tonya 50010 10002 inspector
    person              Shannon 50009 10001 engineer
    person              Georgia 50016 10003 carpenter
    person               Teresa 50022 10004 electrician
    person            Salvatore 50012 10002 mechanic
    person             Madeline 50011 10002 clerk
    person                Tracy 50021 10004 janitor
    person              Bernice 50002 10000 electrician
    person              Armando 50013 10002 mechanic
    person            Priscilla 50024 10004 clerk
    person                Grace 50003 10000 stevedore
    person                David 50017 10003 inspector
    person               Marlon 50015 10003 stevedore
    person               Lonnie 50000 10000 mechanic

// job    name index parent duration [skill]* (zero or more, matches skill in person, may repeat)
//    job    <string> <int> <int> <double> [<string>]*
    job         Job_45_54_94 60206 30021 43.77 inspector
    job         Job_93_65_78 60040 40003 62.64 clerk cleaner
    job         Job_26_80_20 60036 40002 90.39 clerk
    job         Job_59_83_15 60003 30000 96.62 carpenter janitor captain engineer
    job         Job_48_59_18 60135 40012 65.14 stevedore captain
